Status | Name | Type | Operating system | IP | NetBIOS name | NetBIOS group | Manufacturer | MAC address | User
alive |  |  |  | 10.1.4.1 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.2 |  |  |  | 00:00:00:00:00:00 | 
alive | PW10AEGV0009 |  |  | 10.1.4.33 |  |  |  | 00:00:00:00:00:00 | 
alive | GIN1140 |  |  | 10.1.4.36 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.3 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.16 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.67 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.30 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.4 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.11 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.48 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.12 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.71 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.95 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.49 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.26 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.42 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.57 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.22 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.93 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.13 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.41 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.5 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.59 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.14 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.25 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.45 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.90 |  |  |  | 00:00:00:00:00:00 | 
